data	type	pathway	pval	padj	ES	NES	nMoreExtreme	size	ctrlExpr
gtex	adult specific	ALS	0.205780095610604	0.49387222946545	0.955190464923696	1.21598841707875	946	8	FALSE
gtex	adult specific	alzheimer	0.377331995987964	0.754663991975928	0.801326595072647	1.1909021525061	1880	2	FALSE
gtex	adult specific	BP	0.703553947648436	0.810514786418401	0.713707053060665	0.905075992667941	3305	12	FALSE
gtex	adult specific	epilepsy_ndd	0.936669128508124	0.936669128508124	-0.488625214741369	-0.585980501782111	5072	7	FALSE
gtex	adult specific	EPI	0.742971887550201	0.810514786418401	-0.580755421513715	-0.75445409116969	3884	3	FALSE
gtex	adult specific	constraint_genes	0.60748367654445	0.8099782353926	-0.489851366992094	-0.921848801531068	2418	240	FALSE
gtex	adult specific	scz	0.546657986111111	0.8099782353926	-0.615550167542976	-0.938991240564622	2518	44	FALSE
gtex	adult specific	prenatal_high_expressed_genes	0.457795431976167	0.784792169102	-0.499912762302628	-0.988895647320404	1843	387	FALSE
gtex	adult specific	adult_high_expressed_genes	0.202452452452452	0.49387222946545	-0.545967124966641	-1.09619879578593	808	452	FALSE
gtex	adult specific	MS	0.185503920443679	0.49387222946545	-0.95260663507109	-1.23752262394989	969	3	FALSE
gtex	adult specific	ASD	0.10096256684492	0.49387222946545	-0.898357048062224	-1.30978952113322	471	35	FALSE
gtex	adult specific	NDD	0.0080207596131163	0.0962491153573956	-0.85499205751192	-1.50647035700773	33	121	FALSE
hdbr	prenatal specific	BP	0.0592545396623128	0.237018158649251	0.482301912910278	1.49763826984365	185	12	FALSE
hdbr	prenatal specific	EPI	0.50261780104712	0.716212776787987	0.495102685624013	0.896492569687552	2015	3	FALSE
hdbr	prenatal specific	MS	0.892726059392726	0.892726059392726	-0.389809377657506	-0.659043513409826	5350	3	FALSE
hdbr	prenatal specific	scz	0.656528378722321	0.716212776787987	-0.236845198697207	-0.884340179870768	5158	44	FALSE
hdbr	prenatal specific	ASD	0.640290569464263	0.716212776787987	-0.250297039825211	-0.892427511412406	4935	35	FALSE
hdbr	prenatal specific	alzheimer	0.63722730471499	0.716212776787987	-0.60330939359032	-0.902058799455983	3621	2	FALSE
hdbr	prenatal specific	constraint_genes	0.20757687060552	0.41515374121104	-0.241827380551584	-1.12634335480321	1977	240	FALSE
hdbr	prenatal specific	epilepsy_ndd	0.307076923076923	0.526417582417582	-0.506722342514824	-1.14861232059027	1995	7	FALSE
hdbr	prenatal specific	NDD	0.0927754094682522	0.278326228404757	-0.28729203532101	-1.25742064488541	826	121	FALSE
hdbr	prenatal specific	ALS	0.157220379861321	0.377328911667169	-0.548878547825291	-1.30444359819746	1042	8	FALSE
hdbr	prenatal specific	prenatal_high_expressed_genes	0.000101677681748856	0.000610066090493137	-0.399548775022023	-1.9160142761385	0	387	FALSE
hdbr	prenatal specific	adult_high_expressed_genes	0.000101276078590237	0.000610066090493137	-0.439369338825781	-2.11929771006837	0	452	FALSE
hdbr	shared	epilepsy_ndd	0.544492472797734	0.544492472797734	-0.621453126647685	-0.987566556345759	3652	7	FALSE
hdbr	shared	constraint_genes	0.337620253164557	0.423186700014712	-0.416210942016822	-1.04935725816599	3333	240	FALSE
hdbr	shared	scz	0.348950882212685	0.423186700014712	-0.479048746684556	-1.07050259765366	2926	44	FALSE
hdbr	shared	alzheimer	0.394427137417792	0.430284149910318	-0.806332833620904	-1.08475345063917	2278	2	FALSE
hdbr	shared	ASD	0.313766425150436	0.423186700014712	-0.505616159625812	-1.09602407088824	2554	35	FALSE
hdbr	shared	ALS	0.352655583345594	0.423186700014712	-0.692153588588432	-1.13230720561298	2396	8	FALSE
hdbr	shared	EPI	0.315231572080887	0.423186700014712	-0.816799989949717	-1.13424003539271	1932	3	FALSE
hdbr	shared	MS	0.268917155903457	0.423186700014712	-0.833075032001761	-1.15684018781713	1648	3	FALSE
hdbr	shared	prenatal_high_expressed_genes	0.0131183657119968	0.0787101942719808	-0.474642125732327	-1.20851630690533	130	387	FALSE
hdbr	shared	BP	0.218419940853401	0.423186700014712	-0.678916203443195	-1.21353047265302	1550	12	FALSE
hdbr	shared	NDD	0.0229348056912296	0.0917392227649182	-0.532452655992011	-1.30460083795438	215	121	FALSE
hdbr	shared	adult_high_expressed_genes	0.0001001001001001	0.0012012012012012	-0.671911111688177	-1.71359112901088	0	452	FALSE
gtex	adult specific	alzheimer	0.256548856548857	0.513097713097713	0.801326595072647	1.27311677078586	1233	2	TRUE
gtex	adult specific	ALS	0.152266894781865	0.513097713097713	0.955190464923696	1.26915239562176	533	8	TRUE
gtex	adult specific	BP	0.72530261616556	0.870363139398672	0.713707053060665	0.894475764198192	3714	12	TRUE
gtex	adult specific	epilepsy_ndd	0.975418332592922	0.975418332592922	-0.488625214741369	-0.565223180697623	6586	7	TRUE
gtex	adult specific	EPI	0.855919136542745	0.933729967137539	-0.580755421513715	-0.702197899756229	4995	3	TRUE
gtex	adult specific	constraint_genes	0.643255463451394	0.857673951268526	-0.489851366992094	-0.919068041974466	4267	240	TRUE
gtex	adult specific	scz	0.567730634488128	0.857673951268526	-0.615550167542976	-0.932882154550122	2916	44	TRUE
gtex	adult specific	prenatal_high_expressed_genes	0.595634692705342	0.857673951268526	-0.499912762302628	-0.954401704323458	5184	387	TRUE
gtex	adult specific	adult_high_expressed_genes	0.220732439463678	0.513097713097713	-0.545967124966641	-1.05417102618912	2205	452	TRUE
gtex	adult specific	ASD	0.106987251896079	0.513097713097713	-0.898357048062224	-1.26504367545444	662	35	TRUE
gtex	adult specific	MS	0.198731501057082	0.513097713097713	-0.95260663507109	-1.26513504400005	1033	3	TRUE
gtex	adult specific	NDD	0.00743064729194188	0.0891677675033025	-0.85499205751192	-1.48086678673237	44	121	TRUE
hdbr	prenatal specific	BP	0.045774647887324	0.274647887323944	0.482301912910278	1.53030918739264	116	12	TRUE
hdbr	prenatal specific	EPI	0.417464114832536	0.990301739046222	0.495102685624013	0.961727564489532	1395	3	TRUE
hdbr	prenatal specific	MS	0.907776594125704	0.990301739046222	-0.389809377657506	-0.653588927160175	5964	3	TRUE
hdbr	prenatal specific	ASD	0.897305022458146	0.990301739046222	-0.250297039825211	-0.722734464002971	8789	35	TRUE
hdbr	prenatal specific	constraint_genes	0.997800219978002	0.997800219978002	-0.241827380551584	-0.74835224811009	9978	240	TRUE
hdbr	prenatal specific	scz	0.836793052319424	0.990301739046222	-0.236845198697207	-0.774751059361588	7900	44	TRUE
hdbr	prenatal specific	alzheimer	0.670541449984705	0.990301739046222	-0.60330939359032	-0.878214706865378	4383	2	TRUE
hdbr	prenatal specific	NDD	0.703770377037704	0.990301739046222	-0.28729203532101	-0.926593824767852	7036	121	TRUE
hdbr	prenatal specific	prenatal_high_expressed_genes	0.693730626937306	0.990301739046222	-0.399548775022023	-0.987299856604649	6937	387	TRUE
hdbr	prenatal specific	epilepsy_ndd	0.498302114141746	0.990301739046222	-0.506722342514824	-1.02046758797421	4548	7	TRUE
hdbr	prenatal specific	ALS	0.175445441539862	0.701781766159449	-0.548878547825291	-1.27837806537294	1348	8	TRUE
hdbr	prenatal specific	adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.439369338825781	-1.3179441618211	0	452	TRUE
hdbr	shared	constraint_genes	0.7352	0.7352	-0.416210942016822	-0.937585121614656	7351	240	TRUE
hdbr	shared	epilepsy_ndd	0.659646483640466	0.7196143457896	-0.621453126647685	-0.941006329601377	5261	7	TRUE
hdbr	shared	prenatal_high_expressed_genes	0.65013498650135	0.7196143457896	-0.474642125732327	-0.989201474566101	6501	387	TRUE
hdbr	shared	scz	0.463128800442233	0.617505067256311	-0.479048746684556	-1.01469030378162	4188	44	TRUE
hdbr	shared	ASD	0.4502885042166	0.617505067256311	-0.505616159625812	-1.02794116854793	4057	35	TRUE
hdbr	shared	alzheimer	0.425911188922489	0.617505067256311	-0.806332833620904	-1.0749145503638	2675	2	TRUE
hdbr	shared	ALS	0.345832743738503	0.617505067256311	-0.692153588588432	-1.13152613955883	2443	8	TRUE
hdbr	shared	MS	0.270326719379382	0.617505067256311	-0.833075032001761	-1.14029714879777	1811	3	TRUE
hdbr	shared	EPI	0.266925141664181	0.617505067256311	-0.816799989949717	-1.14389810165862	1789	3	TRUE
hdbr	shared	BP	0.25033449290875	0.617505067256311	-0.678916203443195	-1.19323813114778	1870	12	TRUE
hdbr	shared	NDD	0.0785844656256337	0.471506793753802	-0.532452655992011	-1.20432325248502	774	121	TRUE
hdbr	shared	adult_high_expressed_genes	9.99900009999e-05	0.0011998800119988	-0.671911111688177	-1.5073024127148	0	452	TRUE
